step,alteration,octave,pitch,type,duration,measureCount,voice
C,,5,C5,half,2.0,0,1329830710480
C,,5,C5,whole,4.0,1,1329830710480
C,,5,C5,whole,4.0,1,1329830710480
B,-1,4,B[-1]4,half,2.0,2,1329830710480
A,,4,A4,half,2.0,2,1329830710480
F,,4,F4,whole,4.0,3,1329830710480
G,,4,G4,half,2.0,3,1329830710480
F,,4,F4,half,2.0,3,1329830710480
F,,4,F4,half,2.0,4,1329830710480
F,,4,F4,half,2.0,4,1329830710480
C,,5,C5,whole,4.0,5,1329830710480
C,,5,C5,whole,4.0,5,1329830710480
B,-1,4,B[-1]4,half,2.0,6,1329830710480
A,,4,A4,half,2.0,6,1329830710480
G,,4,G4,half,3.0,7,1329830710480
A,,4,A4,quarter,1.0,7,1329830710480
B,-1,4,B[-1]4,half,2.0,7,1329830710480
A,,4,A4,half,2.0,7,1329830710480
A,,4,A4,half,2.0,8,1329830710480
G,,4,G4,half,2.0,8,1329830710480
F,,4,F4,half,2.0,9,1329830710480
F,,4,F4,half,2.0,9,1329830710480
E,,4,E4,half,2.0,9,1329830710480
C,,4,C4,half,2.0,9,1329830710480
D,,4,D4,whole,4.0,10,1329830710480
E,,4,E4,half,2.0,10,1329830710480
F,,4,F4,half,2.0,10,1329830710480
F,,4,F4,half,2.0,11,1329830710480
A,,4,A4,half,2.0,11,1329830710480
G,,4,G4,half,2.0,12,1329830710480
G,,4,G4,half,2.0,12,1329830710480
F,,4,F4,half,2.0,12,1329830710480
E,,4,E4,half,2.0,12,1329830710480
D,,4,D4,whole,4.0,13,1329830710480
C,,4,C4,whole,4.0,13,1329830710480
Rest,,,Rest,half,2.0,14,1329830710480
C,,5,C5,half,2.0,14,1329830710480
C,,5,C5,half,2.0,15,1329830710480
C,,5,C5,half,2.0,15,1329830710480
B,-1,4,B[-1]4,half,2.0,15,1329830710480
A,,4,A4,half,2.0,15,1329830710480
G,,4,G4,whole,4.0,16,1329830710480
F,,4,F4,whole,4.0,16,1329830710480
F,,4,F4,half,2.0,17,1329830710480
