step,alteration,octave,pitch,type,duration,measureCount,voice
G,,4,G4,half,2.0,0,1329831416816
G,,4,G4,half,2.0,1,1329831416816
G,,4,G4,half,2.0,1,1329831416816
G,,4,G4,half,2.0,1,1329831416816
G,,4,G4,half,2.0,1,1329831416816
F,0,4,F4,half,2.0,2,1329831416816
F,1,4,F[1]4,half,2.0,2,1329831416816
D,,4,D4,half,2.0,2,1329831416816
D,,4,D4,half,2.0,2,1329831416816
B,-1,4,B[-1]4,half,3.0,3,1329831416816
B,,4,B4,quarter,1.0,3,1329831416816
C,,5,C5,half,2.0,3,1329831416816
B,,4,B4,half,2.0,3,1329831416816
A,,4,A4,whole,4.0,4,1329831416816
G,,4,G4,half,2.0,4,1329831416816
G,,4,G4,half,2.0,4,1329831416816
G,,4,G4,half,2.0,5,1329831416816
G,,4,G4,half,2.0,5,1329831416816
G,,4,G4,half,2.0,5,1329831416816
G,,4,G4,half,2.0,5,1329831416816
F,0,4,F4,half,2.0,6,1329831416816
F,1,4,F[1]4,half,2.0,6,1329831416816
D,,4,D4,half,2.0,6,1329831416816
D,,4,D4,half,2.0,6,1329831416816
B,-1,4,B[-1]4,half,3.0,7,1329831416816
B,,4,B4,quarter,1.0,7,1329831416816
C,,5,C5,half,2.0,7,1329831416816
B,,4,B4,half,2.0,7,1329831416816
A,,4,A4,whole,4.0,8,1329831416816
G,,4,G4,half,2.0,8,1329831416816
G,,4,G4,half,2.0,8,1329831416816
B,-1,4,B[-1]4,half,3.0,9,1329831416816
C,,5,C5,quarter,1.0,9,1329831416816
D,,5,D5,half,2.0,9,1329831416816
B,,4,B4,half,2.0,9,1329831416816
C,,5,C5,whole,4.0,10,1329831416816
G,,4,G4,whole,4.0,10,1329831416816
C,,5,C5,half,3.0,11,1329831416816
C,,5,C5,quarter,1.0,11,1329831416816
B,-1,4,B[-1]4,half,2.0,11,1329831416816
A,,4,A4,quarter,1.0,11,1329831416816
G,,4,G4,quarter,1.0,11,1329831416816
F,0,4,F4,half,3.0,12,1329831416816
G,,4,G4,quarter,1.0,12,1329831416816
A,,4,A4,half,2.0,12,1329831416816
B,-1,4,B[-1]4,half,2.0,12,1329831416816
C,,5,C5,half,2.0,13,1329831416816
G,,4,G4,half,2.0,13,1329831416816
B,-1,4,B[-1]4,half,2.0,13,1329831416816
A,,4,A4,half,2.0,13,1329831416816
G,,4,G4,whole,6.0,14,1329831416816
Rest,,,Rest,half,2.0,14,1329831416816
