step,octave,type,duration,noteCount,measureCount,partCount
A,4,whole,40320,2,1,6
B,4,half,20160,1,2,6
A,4,half,20160,2,2,6
B,4,half,20160,3,2,6
D,5,half,20160,4,2,6
C,5,half,20160,1,3,6
B,4,half,20160,2,3,6
A,4,whole,40320,3,3,6
Rest,,half,20160,1,4,6
A,4,half,20160,2,4,6
D,5,half,20160,3,4,6
D,5,half,20160,4,4,6
C,5,half,20160,1,5,6
A,4,half,20160,2,5,6
B,4,half,20160,3,5,6
G,4,half,20160,4,5,6
F,4,whole,40320,1,6,6
C,5,whole,40320,2,6,6
Rest,,half,20160,1,7,6
A,4,half,20160,2,7,6
C,5,half,20160,3,7,6
B,4,half,20160,4,7,6
A,4,half,20160,1,8,6
G,4,half,20160,2,8,6
F,4,half,20160,3,8,6
D,4,half,20160,4,8,6
C,4,whole,40320,1,9,6
Rest,,half,20160,2,9,6
C,5,half,20160,3,9,6
A,4,half,20160,1,10,6
A,4,half,20160,2,10,6
B,4,half,20160,3,10,6
C,5,half,20160,4,10,6
D,5,whole,40320,1,11,6
A,4,whole,40320,2,11,6
Rest,,half,20160,1,12,6
D,5,half,20160,2,12,6
C,5,half,20160,3,12,6
B,4,half,20160,4,12,6
A,4,half,20160,1,13,6
G,4,half,20160,2,13,6
F,4,quarter,10080,3,13,6
D,4,quarter,10080,4,13,6
E,4,half,20160,5,13,6
D,4,whole,40320,1,14,6
Rest,,whole,40320,2,14,6
